kW_SE;kvar_SE
18.917;6.213
17.699;5.805
13.555;4.457
12.588;4.138
12.285;4.039
14.537;4.778
11.756;3.866
13.064;4.293
13.362;4.390
9.862;3.242
9.956;3.274
10.391;3.415
11.142;3.663
10.910;3.586
10.572;3.475
10.947;3.598
13.283;4.364
11.056;3.634
10.589;3.481
9.748;3.205
7.773;3.344
9.284;3.839
9.230;3.823
8.435;3.562
7.939;3.870
8.635;4.099
9.564;4.404
9.716;4.454
11.772;5.761
13.919;6.466
14.946;6.805
14.083;6.522
18.242;7.889
17.553;7.659
16.798;8.361
18.508;8.918
23.135;10.438
16.191;8.164
15.534;7.944
13.332;7.220
12.120;6.826
10.189;6.193
6.184;5.373
12.858;7.545
14.164;7.722
13.650;8.200
17.441;9.680
17.075;9.287
16.112;9.174
16.006;9.386
18.895;10.407
23.524;11.652
24.561;12.461
23.280;11.412
21.147;10.681
11.630;7.506
10.217;6.169
14.554;7.442
21.935;10.036
15.078;7.798
12.878;7.073
14.441;7.579
18.139;8.787
21.319;9.837
22.709;9.346
17.804;7.736
25.654;10.318
25.235;10.188
32.769;12.669
31.067;12.094
29.530;10.968
35.731;13.008
42.703;15.303
44.526;15.917
51.748;17.819
43.308;15.028
42.208;14.666
42.202;14.658
44.870;14.731
43.314;14.223
42.228;13.868
39.655;13.005
40.507;13.324
38.093;12.531
36.152;11.896
30.366;9.987
29.295;9.628
32.140;10.549
28.905;9.497
30.262;9.947
30.603;10.060
29.643;9.747
25.700;8.451
26.959;8.859
27.423;9.011
24.619;8.090
